timestamp,Watt,Temp,Vin,Vout
2026-01-30T00:00:28.074801,120.0,20.7,100.4,99.9
2026-01-30T00:01:28.497469,120.0,20.9,100.5,99.9
2026-01-30T00:02:28.914039,120.0,21.3,100.4,99.9
2026-01-30T00:03:29.329982,128.0,21.7,100.4,99.9
2026-01-30T00:04:29.752849,104.0,21.9,100.6,99.9
2026-01-30T00:05:30.193678,136.0,22.2,100.6,99.9
2026-01-30T00:06:30.611892,136.0,22.4,100.7,99.9
2026-01-30T00:07:31.027153,120.0,22.6,100.7,99.9
2026-01-30T00:08:31.442263,128.0,22.7,100.7,99.9
2026-01-30T00:09:31.860258,128.0,22.8,100.7,99.9
2026-01-30T00:10:32.276855,120.0,22.8,100.9,99.9
2026-01-30T00:11:32.694549,128.0,22.6,101.0,99.9
2026-01-30T00:12:33.110049,120.0,22.2,100.9,99.9
2026-01-30T00:13:33.583040,128.0,22.0,101.0,99.9
2026-01-30T00:14:34.062628,144.0,21.7,101.1,99.9
2026-01-30T00:15:34.477749,128.0,21.4,100.9,99.9
2026-01-30T00:16:34.895774,120.0,21.2,101.0,99.9
2026-01-30T00:17:35.311539,128.0,20.9,101.0,99.9
2026-01-30T00:18:35.734422,120.0,20.7,101.0,99.9
2026-01-30T00:19:36.151281,120.0,20.6,101.2,99.9
2026-01-30T00:20:36.592508,128.0,20.6,100.4,99.9
2026-01-30T00:21:37.009836,120.0,20.9,100.7,99.9
2026-01-30T00:22:37.426653,120.0,21.3,100.5,99.9
2026-01-30T00:23:37.842842,120.0,21.7,100.6,99.9
2026-01-30T00:24:38.262888,128.0,21.9,100.9,99.9
2026-01-30T00:25:38.681392,112.0,22.2,100.8,99.9
2026-01-30T00:26:39.099091,128.0,22.4,101.1,99.9
2026-01-30T00:27:39.531492,120.0,22.6,100.9,99.9
2026-01-30T00:28:39.972597,120.0,22.6,100.9,99.9
2026-01-30T00:29:40.391068,120.0,22.7,101.0,99.9
2026-01-30T00:30:40.812128,120.0,22.7,101.2,99.9
2026-01-30T00:31:41.228999,120.0,22.7,101.0,99.9
2026-01-30T00:32:41.645797,136.0,22.4,101.3,99.9
2026-01-30T00:33:42.064588,136.0,22.1,101.3,99.9
2026-01-30T00:34:42.480850,136.0,21.8,101.0,99.9
2026-01-30T00:35:42.933744,120.0,21.6,101.1,99.9
2026-01-30T00:36:43.351404,128.0,21.3,101.0,99.9
2026-01-30T00:37:43.771882,136.0,21.1,101.1,99.9
2026-01-30T00:38:44.200077,128.0,20.8,100.5,99.9
2026-01-30T00:39:44.617700,136.0,20.7,100.6,99.9
2026-01-30T00:40:45.047926,128.0,20.7,100.8,99.9
2026-01-30T00:41:45.465032,120.0,20.9,100.6,99.9
2026-01-30T00:42:45.882264,128.0,21.3,100.4,99.9
2026-01-30T00:43:46.320557,120.0,21.7,100.4,99.9
2026-01-30T00:44:46.754405,128.0,22.0,100.3,99.9
2026-01-30T00:45:47.175648,128.0,22.1,100.4,99.9
2026-01-30T00:46:47.608653,128.0,22.4,100.3,99.9
2026-01-30T00:47:48.025482,128.0,22.7,100.3,99.9
2026-01-30T00:48:48.442058,128.0,22.8,100.3,99.9
2026-01-30T00:49:48.859373,120.0,22.8,100.6,99.9
2026-01-30T00:50:49.363001,144.0,22.9,100.8,99.9
2026-01-30T00:51:49.780670,120.0,22.6,101.0,99.9
2026-01-30T00:52:50.194661,120.0,22.3,100.6,99.9
2026-01-30T00:53:50.607407,120.0,22.0,100.3,99.9
2026-01-30T00:54:51.034910,120.0,21.7,100.3,99.9
2026-01-30T00:55:51.462225,120.0,21.4,100.3,99.9
2026-01-30T00:56:51.878179,120.0,21.2,100.3,99.9
2026-01-30T00:57:52.291559,128.0,20.9,100.1,99.9
2026-01-30T00:58:52.731680,136.0,20.7,100.1,99.9
2026-01-30T00:59:53.145294,128.0,20.6,100.3,99.9
2026-01-30T01:00:53.559532,120.0,20.7,100.2,99.9
2026-01-30T01:01:53.973611,128.0,21.0,100.4,99.9
