timestamp,Internal_Ambient_T,Internal_Ambient_H,External_Ambient_T,External_Ambient_H,Rack_Front_T,Rack_Front_H,Rack_Rear_T,Rack_Rear_H,Ch0_V,Ch0_I_L,Ch0_I_H,Ch1_V,Ch1_I_L,Ch1_I_H,Ch2_V,Ch2_I_L,Ch2_I_H,Ch3_V,Ch3_I_L,Ch3_I_H
2025-09-24T13:40:13.489883,25.0,65.0,24.9,63.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:41:13.489914,24.8,65.2,24.7,63.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:42:13.489243,24.7,65.4,24.6,64.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:43:13.489539,24.4,65.8,24.2,64.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:44:13.489227,24.4,65.9,24.2,64.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:45:13.490046,24.4,66.0,24.1,64.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:46:13.489838,24.4,66.1,24.1,64.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:47:13.490127,24.6,66.5,24.8,64.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:48:13.489932,24.7,66.5,24.9,64.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:49:13.490299,24.8,66.5,25.1,64.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:50:13.489520,24.8,66.5,25.1,64.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:51:13.489994,25.0,66.4,24.9,64.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:52:13.490443,25.0,66.6,25.0,64.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:53:13.489305,25.1,66.7,25.3,64.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:54:13.489300,25.3,66.5,25.4,64.3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:55:13.489404,25.4,66.5,25.5,64.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:56:13.489528,25.5,66.5,25.7,64.3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:57:13.489659,25.6,66.5,25.9,63.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:58:13.489626,26.0,66.4,26.7,63.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24T13:59:13.489420,26.1,66.3,26.9,62.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
